표준코드	단축코드	한글종목명	한글종목약명	영문종목명	상장일	기초지수명	지수산출기관	추적배수	복제방법	기초시장분류	기초자산분류	상장좌수	운용사	CU수량	총보수	과세유형
KR7275300002	275300	삼성 KODEX MSCI퀄리티증권상장지수투자신탁[주식형]	KODEX MSCI퀄리티	SAMSUNG KODEX MSCI Quality ETF	2017-07-11	MSCI Korea IMI Quality Capped	MSCI	일반 (1)	실물	국내	주식	700000	삼성자산운용	100000	0.3	비과세
KR7269420006	269420	삼성 KODEX S&P글로벌인프라증권상장지수투자신탁[주식-파생형](합성)	KODEX S&P글로벌인프라(합성)	SAMSUNG KODEX S&P Global Infrastructure ETF-SYNTH	2017-05-16	S&P Global Infrastructure Index	S&P	일반 (1)	합성	해외	주식	1064000	삼성자산운용	1000	0.26	배당소득세(보유기간과세)
KR7291890002	291890	삼성 KODEX SGX MSCI EM 선물증권상장지수투자신탁[주식-파생형](H)	KODEX MSCI EM선물(H)	Samsung KODEX SGX MSCI EM Futures ETF(H)	2018-03-23	iEdge Emerging Markets Futures Index(ER)	SGX(Singapore Exchange)	일반 (1)	실물	해외	주식	550000	삼성자산운용	50000	0.45	배당소득세(보유기간과세)
KR7329650006	329650	삼성 KODEX TRF3070증권상장지수투자신탁[채권혼합]	KODEX TRF3070	SAMSUNG KODEX TRF3070 ETF	2019-07-04	FnGuide TRF 3070 지수	FnGuide	일반 (1)	실물	국내&해외	혼합자산	3600000	삼성자산운용	100000	0.24	배당소득세(보유기간과세)
KR7329660005	329660	삼성 KODEX TRF5050증권상장지수투자신탁[주식혼합-재간접]	KODEX TRF5050	SAMSUNG KODEX TRF5050 ETF	2019-07-04	FnGuide TRF 5050 지수	FnGuide	일반 (1)	실물	국내&해외	혼합자산	1000000	삼성자산운용	100000	0.17	배당소득세(보유기간과세)
KR7329670004	329670	삼성 KODEX TRF7030증권상장지수투자신탁[주식혼합-재간접]	KODEX TRF7030	SAMSUNG KODEX TRF7030 ETF	2019-07-04	FnGuide TRF 7030 지수	FnGuide	일반 (1)	실물	국내&해외	혼합자산	1000000	삼성자산운용	100000	0.1	배당소득세(보유기간과세)
KR7352540009	352540	삼성 KODEX TSE일본리츠부동산상장지수투자신탁[REITs-파생재간접형](H)	KODEX TSE일본리츠(H)	SAMSUNG KODEX TSE Japan REITs ETF(H)	2020-05-13	Tokyo Stock Exchange REIT Index	TSE(Tokyo Stock Exchange)	일반 (1)	실물	해외	부동산	800000	삼성자산운용	100000	0.3	배당소득세(분리과세부동산ETF)
KR7315930008	315930	삼성 KODEX Top5Plus Total Return증권상장지수투자신탁[주식형]	KODEX Top5PlusTR	Samsung KODEX Top5Plus Total Return ETF	2019-01-22	FnGuide TOP 5 Plus Total Return 지수	FnGuide	일반 (1)	실물	국내	주식	30700000	삼성자산운용	100000	0.15	배당소득세(보유기간과세)
KR7271050007	271050	삼성 KODEX WTI원유선물인버스특별자산상장지수투자신탁(원유-파생형)(H)	KODEX WTI원유선물인버스(H)	Samsung KODEX WTI Crude Oil Futures Inverse ETF(H)	2017-06-13	S&P GSCI Crude Oil Index ER	S&P	1X 인버스 (-1)	실물	해외	원자재	625000	삼성자산운용	25000	0.35	배당소득세(보유기간과세)
KR7261220008	261220	삼성 KODEX WTI원유선물특별자산상장지수투자신탁[원유-파생형](H)	KODEX WTI원유선물(H)	SAMSUNG KODEX WTI Oil Futures ETF(H)	2016-12-27	S&P GSCI Crude Oil Index ER	S&P	일반 (1)	실물	해외	원자재	28225000	삼성자산운용	25000	0.35	배당소득세(보유기간과세)
KR7300950003	300950	삼성 KODEX 게임산업증권상장지수투자신탁[주식]	KODEX 게임산업	Samsung KODEX Game Industry ETF	2018-07-24	FnGuide 게임 산업 지수	FnGuide	일반 (1)	실물	국내	주식	800000	삼성자산운용	100000	0.45	비과세
KR7266390004	266390	삼성 KODEX 경기소비재증권상장지수투자신탁[주식형]	KODEX 경기소비재	Samsung KODEX Consumer Discretionary ETF	2017-03-28	KRX 경기소비재	KRX	일반 (1)	실물	국내	주식	600000	삼성자산운용	100000	0.45	비과세
KR7279530000	279530	삼성 KODEX 고배당증권상장지수투자신탁[주식]	KODEX 고배당	Samsung KODEX High Dividend ETF	2017-10-17	FnGuide 고배당 Plus 지수	FnGuide	일반 (1)	실물	국내	주식	3300000	삼성자산운용	100000	0.3	비과세
KR7280940008	280940	삼성 KODEX 골드선물인버스특별자산상장지수투자신탁[금-파생형](H)	KODEX 골드선물인버스(H)	Samsung KODEX Gold Inverse Futures ETF(H)	2017-11-09	S&P GSCI GOLD Index Excess Return	S&P	1X 인버스 (-1)	실물	해외	원자재	500000	삼성자산운용	100000	0.45	배당소득세(보유기간과세)
KR7132030008	132030	삼성 KODEX 골드선물특별자산상장지수투자신탁(금-파생형)(H)	KODEX 골드선물(H)	SAMSUNG KODEX GOLD FUTURES SPECIAL ASSET ETF	2010-10-01	S&P GSCI Gold Index(TR)	S&P	일반 (1)	실물	해외	원자재	19300000	삼성자산운용	100000	0.68	배당소득세(보유기간과세)
KR7138910005	138910	삼성 KODEX 구리선물특별자산상장지수투자신탁(구리-파생형)(H)	KODEX 구리선물(H)	SAMSUNG KODEX COPPER FUTURES SPECIAL ASSET ETF	2011-03-15	S&P GSCI North American Copper Index(TR)	S&P	일반 (1)	실물	해외	원자재	3000000	삼성자산운용	100000	0.68	배당소득세(보유기간과세)
KR7114260003	114260	삼성 KODEX 국고채권 증권상장지수투자신탁[채권]	KODEX 국고채3년	SAMSUNG KODEX TREASURY BOND ETF	2009-07-29	MKF 국고채지수(총수익)	FnGuide	일반 (1)	실물	국내	채권	1620000	삼성자산운용	6000	0.15	배당소득세(보유기간과세)
KR7292770005	292770	삼성 KODEX 국채선물3년인버스증권상장지수투자신탁[채권-파생형]	KODEX 국채선물3년인버스	Samsung KODEX 3Y F-KTB INVERSE ETF	2018-04-13	국채선물지수	KRX	1X 인버스 (-1)	실물	국내	채권	102000	삼성자산운용	6000	0.07	배당소득세(보유기간과세)
KR7276990009	276990	삼성 KODEX 글로벌4차산업로보틱스증권상장지수투자신탁(주식-파생형)(합성)	KODEX 글로벌4차산업로보틱스(합성)	SAMSUNG KODEX Global Robotics & Automation ETF-SYNTH	2017-08-17	ROBO Global Robotics & Automation UCITS Price Return Index	ROBO Global	일반 (1)	합성	국내&해외	주식	1270000	삼성자산운용	1000	0.3	배당소득세(보유기간과세)
KR7102960002	102960	삼성 KODEX 기계장비증권상장지수투자신탁[주식]	KODEX 기계장비	SAMSUNG KODEX MACHINARY & EQUIPMENT ETF	2008-05-29	KRX 기계장비	KRX	일반 (1)	실물	국내	주식	3080000	삼성자산운용	20000	0.45	비과세
KR7352560007	352560	삼성 KODEX 다우존스미국리츠부동산상장지수투자신탁[REITs-파생재간접형](H)	KODEX 다우존스미국리츠(H)	SAMSUNG KODEX DJI US REITs ETF(H)	2020-05-13	Dow Jones U.S. Real Estate PR Index	S&P	일반 (1)	실물	해외	부동산	1000000	삼성자산운용	100000	0.3	배당소득세(분리과세부동산ETF)
KR7273140004	273140	삼성 KODEX 단기변동금리부채권액티브증권상장지수투자신탁[채권]	KODEX 단기변동금리부채권액티브	Samsung KODEX Active Korea FRN(Bank 1Y, AAA) ETF	2017-06-29	KAP 단기변동금리부은행채권지수	한국자산평가(KAP)	일반 (1)	Active	국내	채권	1111000	삼성자산운용	1000	0.15	배당소득세(보유기간과세)
KR7244620001	244620	삼성 KODEX 모멘텀PLUS증권상장지수투자신탁[주식]	KODEX 모멘텀Plus	Samsung KODEX Momentum PLUS ETF	2016-05-13	FnGuide 모멘텀 Plus 지수	FnGuide	일반 (1)	실물	국내	주식	1000000	삼성자산운용	100000	0.3	비과세
